Model,R²,MAE (Hz),RMSE (Hz),Train Time (s),R² Improvement (%)
Default,0.9936193580159272,2.5042946421435315,4.311574442717345,0.07469320297241211,0.0
Optimized,0.9942883845700072,2.1785542920179184,4.079276837559887,0.21116399765014648,0.06733227857154454
