Model,Train_MAE,Train_RMSE,Train_R2,Test_MAE,Test_RMSE,Test_R2,CV_R2_Mean,CV_R2_Std
Linear Regression,16.209032215272387,21.30367222753143,0.833301627611688,16.770235874807778,21.64587402079402,0.8391789651669053,0.8326419154364955,0.007335783070624378
Random Forest,1.893035593854609,3.208075968748276,0.9962198267508319,3.8705448040746213,6.881882750276708,0.9837442452879196,0.9831907509107547,0.002497402633220125
XGBoost,0.18142946974560129,0.26501533071073935,0.9999742032846114,3.2893771497287734,6.7244079176716225,0.9844796789410556,0.9860629174546889,0.0019882548131198337
CatBoost,1.4195162877277503,2.119297925039314,0.998350294424355,2.3571934982716796,4.185090226699831,0.9939882314774561,0.992137819964938,0.0018222082323453264
SVR,2.3626598677530253,4.922841162551144,0.9910986871955917,2.7016112879851177,5.957664675778137,0.987817267445207,0.9865502520331443,0.0011433909150308766
