Metric,Value
Mean CI Width (Hz),185.47363895997552
Median CI Width (Hz),186.32114988142388
Std CI Width (Hz),19.573430887042463
Min CI Width (Hz),123.05913930389454
Max CI Width (Hz),244.62060042036973
95% Coverage (%),93.2
Mean Pred Std (Hz),51.19938929875536
