Model,Train_MAE,Train_RMSE,Train_R2,Train_MAPE,Test_MAE,Test_RMSE,Test_R2,Test_MAPE,Train_Time_s,CV_RMSE
Linear Regression,12.293193490410555,19.66973967264733,0.9898519550471656,4.885354881925207,11.915328785267189,18.13911091060517,0.9915106986979338,4.805657392364502,0.0006567499999619031,19.937540582358782
Random Forest,2.1541048127596083,3.3864577441646166,0.9996992009364069,0.8089535797724284,5.85090703761871,9.395223437976949,0.9977225220483952,2.145016306288101,0.1850092920001316,9.494430332149395
XGBoost,0.826080595288919,1.2604420120715911,0.9999583292901368,0.32676494252916644,4.114021111826907,7.284781527839475,0.9986307806793959,1.5882997214568584,1.0334895829998914,7.07506091053591
CatBoost,3.164731944081336,4.615745243218133,0.9994411840162013,1.249481392770999,4.024802938691588,6.081371064852362,0.9990457922004641,1.5720158232478614,0.10212195899998733,7.533790371601635
SVR,2.028391432891173,6.50382742769464,0.9988905105510867,0.5430171950391462,3.527324887308419,6.380392992803163,0.9989496481273544,1.2552802705989015,1.0476832909998848,9.428652391801077
