Model,CV_RMSE,CV_RMSE_std
XGBoost,7.07506091053591,0.8968079419612047
CatBoost,7.533790371601635,1.234032964929026
SVR,9.428652391801077,1.4337221677806822
Random Forest,9.494430332149395,0.7345015924005982
Linear Regression,19.937540582358782,1.491625574218203
