iter	RMSE
179	3.799333767
180	3.793095921
181	3.787940036
182	3.784117299
183	3.781238703
184	3.772091565
185	3.768367194
186	3.763710894
187	3.760329385
188	3.754063896
189	3.750164852
190	3.745413333
191	3.743292714
192	3.735300693
193	3.727983939
194	3.7209959
195	3.71587615
196	3.70973324
197	3.705894827
198	3.69822441
199	3.693704098
200	3.689695339
201	3.685710546
202	3.678174443
203	3.674859857
204	3.67031299
205	3.665699801
206	3.663764571
207	3.657936317
208	3.654073501
209	3.651053894
210	3.644052017
211	3.639846768
212	3.63798878
213	3.635776645
214	3.631610476
215	3.628641679
216	3.625535588
217	3.622667441
218	3.61903865
219	3.614137248
220	3.609199563
221	3.604698186
222	3.601146338
223	3.598100183
224	3.594668025
225	3.589190199
226	3.58636256
227	3.581857692
228	3.575838307
229	3.571672202
230	3.565199807
231	3.56053349
232	3.555360204
233	3.552279461
234	3.549471129
235	3.546205848
236	3.542636017
237	3.539096997
238	3.530748081
239	3.524535975
240	3.521335678
241	3.518429967
242	3.515668647
243	3.511986031
244	3.506061408
245	3.501760894
246	3.494576612
247	3.490239377
248	3.482851761
249	3.476810423
250	3.471546079
251	3.469007243
252	3.465112584
253	3.463033888
254	3.457773363
255	3.454813156
256	3.451180691
257	3.445151923
258	3.442347301
259	3.438218992
260	3.433034055
261	3.429558379
262	3.425705229
263	3.422310818
264	3.41917493
265	3.413062701
266	3.409969421
267	3.407081378
268	3.404065268
269	3.400327419
270	3.397955376
271	3.393666688
272	3.390787697
273	3.386105361
274	3.383684055
275	3.378053366
276	3.375105496
277	3.370710147
278	3.36746093
279	3.361581961
280	3.359763554
281	3.35388784
282	3.348577326
283	3.345566932
284	3.342891275
285	3.340332243
286	3.337281468
287	3.333369078
288	3.329199433
289	3.325389972
290	3.321385267
291	3.318981724
292	3.317801972
293	3.312327749
294	3.30769733
295	3.304812993
296	3.301765775
297	3.298336463
298	3.29544071
299	3.293515904
300	3.290164269
301	3.286696091
302	3.285124486
303	3.282780479
304	3.279946317
305	3.278342157
306	3.274878428
307	3.272610573
308	3.270004966
309	3.26061329
310	3.258940871
311	3.25478813
312	3.251817009
313	3.249337945
314	3.246660525
315	3.24317227
316	3.235569962
317	3.231146431
318	3.227790184
319	3.225804349
320	3.223093177
321	3.218531094
322	3.214552572
323	3.213055088
324	3.206420487
325	3.203488675
326	3.200124904
327	3.19746784
328	3.195150179
329	3.188193879
330	3.184627993
331	3.177956066
332	3.174069737
333	3.169291991
334	3.167095065
335	3.164302664
336	3.162576655
337	3.160536533
338	3.15489895
339	3.149618474
340	3.146421419
341	3.144753996
342	3.139929286
343	3.137057823
344	3.133036233
345	3.130210886
346	3.126115539
347	3.119756673
348	3.117422214
349	3.114832578
350	3.112764793
351	3.108120013
352	3.102986951
353	3.10072324
354	3.099047223
355	3.096709879
356	3.092864223
357	3.089408995
358	3.084978226
359	3.082618539
360	3.080738704
361	3.078809999
362	3.074095058
363	3.072028041
364	3.0702882
365	3.066520278
366	3.061176172
367	3.055827255
368	3.052029759
369	3.047192499
370	3.044894622
371	3.042441035
372	3.039243646
373	3.036464341
374	3.032414011
375	3.030253456
376	3.027585287
377	3.024569338
378	3.021907857
379	3.020205441
380	3.018022708
381	3.014917682
382	3.012004525
383	3.009504708
384	3.005446851
385	3.00201681
386	2.99971687
387	2.995477615
388	2.993821878
389	2.992178902
390	2.986268222
391	2.984079638
392	2.982103995
393	2.980683048
394	2.976328726
395	2.974782354
396	2.972790876
397	2.969802682
398	2.965916997
399	2.962173498
400	2.959544063
401	2.957829311
402	2.954086823
403	2.952497258
404	2.94930003
405	2.945270661
406	2.94378097
407	2.941520763
408	2.937189183
409	2.935609591
410	2.934208025
411	2.932851099
412	2.931164001
413	2.929395843
414	2.927746607
415	2.926758714
416	2.92396804
417	2.920667327
418	2.918293202
419	2.915135285
420	2.912462158
421	2.911149841
422	2.905482704
423	2.902591677
424	2.899434103
425	2.898422383
426	2.894741831
427	2.893189112
428	2.89038715
429	2.889890339
430	2.887217405
431	2.881182645
432	2.87921885
433	2.877815929
434	2.876044128
435	2.872405627
